"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN PEDIATRIA","0","2","2"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN PSIQUIATRIA Y SALUD MENTAL","1","3","4"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MEDICA EN ANESTESIOLOGIA","2","1","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MEDICA EN ANESTESIOLOGIA-SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN CARDIOLOGÍA","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MEDICA EN CIRUGIA GENERAL","1","4","5"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN CIRUGÍA GENERAL","0","2","2"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN CIRUGÍA GENERAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN GINECOLOGÍA Y OBSTETRICIA","2","10","12"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN GINECOLOGÍA Y OBSTETRICIA","10","0","10"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN GINECOLOGÍA Y OBSTETRICIA","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA DE EMERGENCIAS","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MEDICA EN MEDICINA INTERNA","2","3","5"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA INTERNA","5","3","8"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA INTERNA","1","1","2"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA LEGAL","3","0","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MEDICA EN MEDICINA LEGAL- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA PEDIÁTRICA","0","3","3"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN MEDICINA PEDIÁTRICA","2","0","2"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN PEDIATRÍA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD MÉDICA EN RADIOLOGÍA E IMÁGENES","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA AERONAUTICA","32","11","43"
"UNIVERSIDAD LUTERANA SALVADOREÑA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA AGROECOLOGICA","18","34","52"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","INGENIERÍA","INGENIERIA AGROINDUSTRIAL","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA AGROINDUSTRIAL","11","9","20"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA AGROINDUSTRIAL","11","8","19"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA AGROINDUSTRIAL-SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","INGENIERÍA","INGENIERIA AGRONOMICA","1","0","1"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA AGRONOMICA","6","39","45"
"UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO","PRIVADO","Chalatenango","INGENIERÍA","INGENIERIA AGRONOMICA","24","54","78"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA AGRONOMICA","2","4","6"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA AGRONOMICA","15","22","37"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA AGRONÓMICA","20","37","57"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA AGRONOMICA FITOTECNISTA","0","0","0"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA AGRONOMICA ZOOTECNISTA","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA BIOMEDICA","15","3","18"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA CIVIL","11","1","12"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA CIVIL","25","64","89"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA CIVIL","13","28","41"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA CIVIL","37","12","49"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","INGENIERÍA","INGENIERIA CIVIL","9","46","55"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","INGENIERÍA","INGENIERIA CIVIL","12","36","48"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA CIVIL","0","3","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA CIVIL","13","29","42"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA CIVIL","12","27","39"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA CIVIL- SEMIPRESENCIAL","8","18","26"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA DE ALIMENTOS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA DE ALIMENTOS","6","2","8"
"INSTITUTO ESPECIALIZADO ESCUELA SUPERIOR DE ECONOMIA Y NEGOCIOS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA DE NEGOCIOS","23","33","56"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA DE SISTEMAS INFORMATICOS","39","13","52"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","INGENIERÍA","INGENIERIA DE SISTEMAS INFORMATICOS","11","8","19"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA DE SISTEMAS INFORMATICOS","14","40","54"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","INGENIERÍA","INGENIERÍA DE SISTEMAS INFORMÁTICOS","0","11","11"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA ELECTRICA","2","0","2"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA ELECTRICA","6","30","36"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","INGENIERÍA","INGENIERIA ELECTRICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","INGENIERÍA","INGENIERIA ELECTRICA","0","0","0"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","INGENIERÍA","INGENIERIA ELECTRICA","3","17","20"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA ELECTRICA","8","0","8"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA ELECTRICA","0","0","0"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA ELECTRICA","0","13","13"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","INGENIERIA","INGENIERIA ELECTRICA","7","72","79"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","INGENIERÍA","INGENIERÍA ELÉCTRICA","0","3","3"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA ELECTRICA-SEMIPRESENCIAL","2","28","30"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA ELECTRONICA","4","0","4"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA ELECTRONICA","0","0","0"
"UNIVERSIDAD TECNICA LATINOAMERICANA","PRIVADO","La Libertad","INGENIERÍA","INGENIERIA ELECTRONICA","1","2","3"
"ESCUELA ESPECIALIZADA EN INGENIERIA ITCA-FEPADE","PÚBLICO","La Libertad","INGENIERÍA","INGENIERÍA ELECTRÓNICA","1","8","9"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","INGENIERÍA","INGENIERIA EN ADMINISTRACION TERRITORIAL","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","INGENIERÍA","INGENIERÍA EN AGROBIOTECNOLOGÍA","9","6","15"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","INGENIERÍA","INGENIERIA EN AGRONEGOCIOS","6","9","15"
