"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2020","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2020 SINIEES","","","","","","","","","","","","",""
"Institución de Educación Superior","Departamento","Tipo de IES","Sector","Nivel Académico","Grado ","Carrera","Masculino","Femenino","Total","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN MANEJO INTEGRADO DE RECURSOS COSTERO MARINOS, CON ESPECIALIDAD EN ACUICULTURA Y PESQUERÍA","0","3","3","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","Santa Ana","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN MANTENIMIENTO DE COMPUTADORAS","15","7","22","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN MANTENIMIENTO DE COMPUTADORAS","2","1","3","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN MECANICA AUTOMOTRIZ","262","5","267","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN QUÍMICA INDUSTRIAL","5","8","13","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Paz","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO SUPERIOR EN ELECTRONICA","62","4","66","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Paz","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO SUPERIOR EN LOGISTICA GLOBAL","44","60","104","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Universitario","INGENIERÍA ","INGENIERÍA ELECTRÓNICA","3","2","5","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Universitario","INGENIERÍA ","INGENIERIA EN DESARROLLO DE SOFTWARE","0","0","0","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Universitario","INGENIERÍA ","INGENIERIA EN LOGISTICA Y ADUANAS","17","15","32","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Universitario","INGENIERÍA ","INGENIERIA MECATRONICA","39","1","40","","","",""
"ESCUELA NACIONAL DE AGRICULTURA ROBERTO QUIÑONEZ","La Libertad","Instituto Tecnológico","Público","Técnico","TÉCNICO","TECNICO EN AGRONOMIA","77","26","103","","","",""
